🇨🇳 央视,#genre#
四川卫视,http://xxy.x3322.net:4022/rtp/239.77.1.215:5146
四川卫视,http://xxy.x3322.net:4022/rtp/239.77.1.30:5146
大湾区卫视,http://www.ye28.eu.org:7777/udp/239.77.0.215:5146
大湾区卫视,http://www.ye28.eu.org:7777/udp/239.77.0.9:5146
大湾区卫视,http://www.ye28.eu.org:7777/udp/239.77.1.12:5146
大湾区卫视,http://xxy.x3322.net:4022/rtp/239.77.1.12:5146
天津卫视,http://www.ye28.eu.org:7777/udp/239.77.0.131:5146
天津卫视,http://www.ye28.eu.org:7777/udp/239.77.0.52:5146
天津卫视,http://www.ye28.eu.org:7777/udp/239.77.0.97:5146
天津卫视,http://www.ye28.eu.org:7777/udp/239.77.1.141:5146
天津卫视,http://www.ye28.eu.org:7777/udp/239.77.1.182:5146
天津卫视,http://www.ye28.eu.org:7777/udp/239.77.1.37:5146
天津卫视,http://xxy.x3322.net:4022/rtp/239.77.1.37:5146
宁夏卫视,http://www.ye28.eu.org:7777/udp/239.77.0.73:5146
宁夏卫视,http://www.ye28.eu.org:7777/udp/239.77.1.47:5146
宁夏卫视,http://xxy.x3322.net:4022/rtp/239.77.0.73:5146
宁夏卫视,http://xxy.x3322.net:4022/rtp/239.77.1.47:5146
安徽卫视,http://www.ye28.eu.org:7777/udp/239.77.0.183:5146
安徽卫视,http://www.ye28.eu.org:7777/udp/239.77.0.50:5146
安徽卫视,http://www.ye28.eu.org:7777/udp/239.77.1.13:5146
安徽卫视,http://www.ye28.eu.org:7777/udp/239.77.1.157:5146
安徽卫视,http://www.ye28.eu.org:7777/udp/239.77.1.92:5146
安徽卫视,http://xxy.x3322.net:4022/rtp/239.77.0.50:5146
安徽卫视,http://xxy.x3322.net:4022/rtp/239.77.1.13:5146
安徽卫视,http://xxy.x3322.net:4022/rtp/239.77.1.157:5146
安徽卫视,http://xxy.x3322.net:4022/rtp/239.77.1.92:5146
山东卫视,http://www.ye28.eu.org:7777/udp/239.77.0.132:5146
山东卫视,http://www.ye28.eu.org:7777/udp/239.77.0.53:5146
山东卫视,http://www.ye28.eu.org:7777/udp/239.77.0.94:5146
山东卫视,http://www.ye28.eu.org:7777/udp/239.77.1.142:5146
山东卫视,http://www.ye28.eu.org:7777/udp/239.77.1.153:5146
山东卫视,http://www.ye28.eu.org:7777/udp/239.77.1.66:5146
山东卫视,http://xxy.x3322.net:4022/rtp/239.77.0.53:5146
山西卫视,http://www.ye28.eu.org:7777/udp/239.77.0.69:5146
山西卫视,http://www.ye28.eu.org:7777/udp/239.77.1.74:5146
广东卫视,http://www.ye28.eu.org:7777/udp/239.77.0.166:5146
广东卫视,http://www.ye28.eu.org:7777/udp/239.77.0.2:5146
广东卫视,http://www.ye28.eu.org:7777/udp/239.77.0.84:5146
广东卫视,http://www.ye28.eu.org:7777/udp/239.77.1.152:5146
广东卫视,http://www.ye28.eu.org:7777/udp/239.77.1.19:5146
广东卫视,http://www.ye28.eu.org:7777/udp/239.77.1.2:5146
广东卫视,http://xxy.x3322.net:4022/rtp/239.77.0.84:5146
广东卫视,http://xxy.x3322.net:4022/rtp/239.77.1.152:5146
广东卫视,http://xxy.x3322.net:4022/rtp/239.77.1.19:5146
广东卫视,http://xxy.x3322.net:4022/rtp/239.77.1.2:5146
广西卫视,http://www.ye28.eu.org:7777/udp/239.253.43.36:5146
广西卫视,http://www.ye28.eu.org:7777/udp/239.77.0.139:5146
广西卫视,http://www.ye28.eu.org:7777/udp/239.77.0.66:5146
广西卫视,http://www.ye28.eu.org:7777/udp/239.77.1.59:5146
广西卫视,http://xxy.x3322.net:4022/rtp/239.253.43.36:5146
广西卫视,http://xxy.x3322.net:4022/rtp/239.77.0.139:5146
广西卫视,http://xxy.x3322.net:4022/rtp/239.77.0.66:5146
广西卫视,http://xxy.x3322.net:4022/rtp/239.77.1.59:5146
延边卫视,http://www.ye28.eu.org:7777/udp/239.77.0.10:5146
延边卫视,http://www.ye28.eu.org:7777/udp/239.77.1.99:5146
延边卫视,http://xxy.x3322.net:4022/rtp/239.77.0.10:5146
延边卫视,http://xxy.x3322.net:4022/rtp/239.77.1.99:5146
新疆卫视,http://www.ye28.eu.org:7777/udp/239.77.0.75:5146
新疆卫视,http://www.ye28.eu.org:7777/udp/239.77.1.53:5146
新疆卫视,http://xxy.x3322.net:4022/rtp/239.77.0.75:5146
新疆卫视,http://xxy.x3322.net:4022/rtp/239.77.1.53:5146
江苏卫视,http://www.ye28.eu.org:7777/udp/239.77.0.126:5146
江苏卫视,http://www.ye28.eu.org:7777/udp/239.77.0.48:5146
江苏卫视,http://www.ye28.eu.org:7777/udp/239.77.0.90:5146
江苏卫视,http://www.ye28.eu.org:7777/udp/239.77.1.149:5146
江苏卫视,http://www.ye28.eu.org:7777/udp/239.77.1.18:5146
